version,taille,temps
fusion,100000,0.05
rapide,100000,0.03
fusion,150000,0.04
rapide,150000,0.05
fusion,200000,0.04
rapide,200000,0.05
fusion,250000,0.05
rapide,250000,0.06
fusion,300000,0.10
rapide,300000,0.06
fusion,350000,0.11
rapide,350000,0.08
fusion,400000,0.09
rapide,400000,0.09
fusion,450000,0.12
rapide,450000,0.07
fusion,500000,0.13
rapide,500000,0.08
fusion,550000,0.14
rapide,550000,0.12
fusion,600000,0.15
rapide,600000,0.13
fusion,650000,0.19
rapide,650000,0.11
fusion,700000,0.18
rapide,700000,0.13
fusion,750000,0.22
rapide,750000,0.13
fusion,800000,0.21
rapide,800000,0.16
fusion,850000,0.21
rapide,850000,0.17
fusion,900000,0.23
rapide,900000,0.18
fusion,950000,0.28
rapide,950000,0.20
