version,taille,temps
insertion,10000,0.12
fusion,10000,0.00
rapide,10000,0.00
insertion,10001,0.12
fusion,10001,0.00
rapide,10001,0.00
insertion,10002,0.11
fusion,10002,0.00
rapide,10002,0.00
insertion,10003,0.13
fusion,10003,0.00
rapide,10003,0.00
insertion,10004,0.13
fusion,10004,0.00
rapide,10004,0.00
insertion,10005,0.14
fusion,10005,0.00
rapide,10005,0.00
insertion,10006,0.11
fusion,10006,0.00
rapide,10006,0.00
insertion,10007,0.12
fusion,10007,0.00
rapide,10007,0.00
insertion,10008,0.16
fusion,10008,0.00
rapide,10008,0.00
insertion,10009,0.12
fusion,10009,0.00
rapide,10009,0.00
insertion,10010,0.10
fusion,10010,0.00
rapide,10010,0.00
insertion,10011,0.12
fusion,10011,0.00
rapide,10011,0.00
insertion,10012,0.11
fusion,10012,0.00
rapide,10012,0.00
insertion,10013,0.13
fusion,10013,0.00
rapide,10013,0.00
insertion,10014,0.10
fusion,10014,0.00
rapide,10014,0.00
insertion,10015,0.12
fusion,10015,0.00
rapide,10015,0.00
insertion,10016,0.13
fusion,10016,0.00
rapide,10016,0.00
insertion,10017,0.11
fusion,10017,0.00
rapide,10017,0.00
insertion,10018,0.11
fusion,10018,0.00
rapide,10018,0.00
insertion,10019,0.10
fusion,10019,0.00
rapide,10019,0.00
insertion,10020,0.13
fusion,10020,0.00
rapide,10020,0.00
insertion,10021,0.10
fusion,10021,0.00
rapide,10021,0.00
insertion,10022,0.11
fusion,10022,0.00
rapide,10022,0.00
insertion,10023,0.13
fusion,10023,0.00
rapide,10023,0.00
insertion,10024,0.11
fusion,10024,0.00
rapide,10024,0.00
insertion,10025,0.12
fusion,10025,0.00
rapide,10025,0.00
insertion,10026,0.13
fusion,10026,0.00
rapide,10026,0.00
insertion,10027,0.10
fusion,10027,0.00
rapide,10027,0.00
insertion,10028,0.12
fusion,10028,0.00
rapide,10028,0.00
insertion,10029,0.13
fusion,10029,0.00
rapide,10029,0.00
insertion,10030,0.10
fusion,10030,0.00
rapide,10030,0.00
insertion,10031,0.13
fusion,10031,0.00
rapide,10031,0.00
insertion,10032,0.11
fusion,10032,0.00
rapide,10032,0.00
insertion,10033,0.13
fusion,10033,0.00
rapide,10033,0.00
insertion,10034,0.11
fusion,10034,0.00
rapide,10034,0.00
insertion,10035,0.11
fusion,10035,0.00
rapide,10035,0.00
insertion,10036,0.12
fusion,10036,0.00
rapide,10036,0.00
insertion,10037,0.11
fusion,10037,0.00
rapide,10037,0.00
insertion,10038,0.14
fusion,10038,0.00
rapide,10038,0.00
insertion,10039,0.13
fusion,10039,0.00
rapide,10039,0.00
insertion,10040,0.24
fusion,10040,0.00
rapide,10040,0.00
insertion,10041,0.20
fusion,10041,0.00
rapide,10041,0.00
insertion,10042,0.11
fusion,10042,0.00
rapide,10042,0.00
insertion,10043,0.12
fusion,10043,0.00
rapide,10043,0.00
insertion,10044,0.12
fusion,10044,0.00
rapide,10044,0.00
insertion,10045,0.14
fusion,10045,0.00
rapide,10045,0.00
insertion,10046,0.12
fusion,10046,0.00
rapide,10046,0.00
insertion,10047,0.13
fusion,10047,0.00
rapide,10047,0.00
insertion,10048,0.23
fusion,10048,0.00
rapide,10048,0.00
insertion,10049,0.13
fusion,10049,0.00
rapide,10049,0.00
insertion,10050,0.11
fusion,10050,0.00
rapide,10050,0.00
insertion,10051,0.12
fusion,10051,0.00
rapide,10051,0.00
insertion,10052,0.17
fusion,10052,0.00
rapide,10052,0.00
